4.00V	4.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	2.868792e+01	
-1.980000e-01	2.866418e+01	
-1.960000e-01	2.918437e+01	
-1.940000e-01	2.910338e+01	
-1.920000e-01	2.861054e+01	
-1.900000e-01	2.890954e+01	
-1.880000e-01	2.865808e+01	
-1.860000e-01	2.937429e+01	
-1.840000e-01	2.937607e+01	
-1.820000e-01	2.943356e+01	
-1.800000e-01	2.956549e+01	
-1.780000e-01	2.866762e+01	
-1.760000e-01	2.932549e+01	
-1.740000e-01	2.899752e+01	
-1.720000e-01	2.876510e+01	
-1.700000e-01	2.893249e+01	
-1.680000e-01	2.932387e+01	
-1.660000e-01	2.907783e+01	
-1.640000e-01	2.916305e+01	
-1.620000e-01	2.868838e+01	
-1.600000e-01	2.851860e+01	
-1.580000e-01	2.895588e+01	
-1.560000e-01	2.936847e+01	
-1.540000e-01	2.912465e+01	
-1.520000e-01	2.878772e+01	
-1.500000e-01	2.903546e+01	
-1.480000e-01	2.949424e+01	
-1.460000e-01	2.906773e+01	
-1.440000e-01	2.916004e+01	
-1.420000e-01	2.887324e+01	
-1.400000e-01	2.949371e+01	
-1.380000e-01	2.903596e+01	
-1.360000e-01	2.926029e+01	
-1.340000e-01	2.936900e+01	
-1.320000e-01	2.865962e+01	
-1.300000e-01	2.960638e+01	
-1.280000e-01	2.918807e+01	
-1.260000e-01	2.875357e+01	
-1.240000e-01	2.916181e+01	
-1.220000e-01	2.904442e+01	
-1.200000e-01	2.930359e+01	
-1.180000e-01	2.923726e+01	
-1.160000e-01	2.910699e+01	
-1.140000e-01	2.918614e+01	
-1.120000e-01	2.932174e+01	
-1.100000e-01	2.902345e+01	
-1.080000e-01	2.912937e+01	
-1.060000e-01	2.933388e+01	
-1.040000e-01	2.872660e+01	
-1.020000e-01	2.937153e+01	
-1.000000e-01	2.923589e+01	
-9.800000e-02	2.949756e+01	
-9.600000e-02	2.922182e+01	
-9.400000e-02	2.931583e+01	
