5.00V	5.00V
Magnetic Field (T)	Lock-In Average (V)
-2.000000e-01	2.809984e+01	
-1.980000e-01	2.744727e+01	
-1.960000e-01	2.790168e+01	
-1.940000e-01	2.746632e+01	
-1.920000e-01	2.769265e+01	
-1.900000e-01	2.749642e+01	
-1.880000e-01	2.748880e+01	
-1.860000e-01	2.747648e+01	
-1.840000e-01	2.735497e+01	
-1.820000e-01	2.728304e+01	
-1.800000e-01	2.735110e+01	
-1.780000e-01	2.729100e+01	
-1.760000e-01	2.743267e+01	
-1.740000e-01	2.701135e+01	
-1.720000e-01	2.715951e+01	
-1.700000e-01	2.717933e+01	
-1.680000e-01	2.744428e+01	
-1.660000e-01	2.681585e+01	
-1.640000e-01	2.738800e+01	
-1.620000e-01	2.716682e+01	
-1.600000e-01	2.695564e+01	
-1.580000e-01	2.706260e+01	
-1.560000e-01	2.697541e+01	
-1.540000e-01	2.743340e+01	
-1.520000e-01	2.706285e+01	
-1.500000e-01	2.727498e+01	
-1.480000e-01	2.703301e+01	
-1.460000e-01	2.742680e+01	
-1.440000e-01	2.741131e+01	
-1.420000e-01	2.695512e+01	
-1.400000e-01	2.712711e+01	
-1.380000e-01	2.706138e+01	
-1.360000e-01	2.712638e+01	
-1.340000e-01	2.699831e+01	
-1.320000e-01	2.690671e+01	
-1.300000e-01	2.695425e+01	
-1.280000e-01	2.684451e+01	
-1.260000e-01	2.689787e+01	
-1.240000e-01	2.694329e+01	
-1.220000e-01	2.739145e+01	
-1.200000e-01	2.712112e+01	
-1.180000e-01	2.722445e+01	
-1.160000e-01	2.702478e+01	
-1.140000e-01	2.690169e+01	
-1.120000e-01	2.731803e+01	
-1.100000e-01	2.737243e+01	
-1.080000e-01	2.756292e+01	
-1.060000e-01	2.748974e+01	
-1.040000e-01	2.734276e+01	
-1.020000e-01	2.707652e+01	
-1.000000e-01	2.713640e+01	
-9.800000e-02	2.721891e+01	
-9.600000e-02	2.737639e+01	
-9.400000e-02	2.786395e+01	
-9.200000e-02	2.746328e+01	
-9.000000e-02	2.721835e+01	
-8.800000e-02	2.699216e+01	
-8.600000e-02	2.731459e+01	
-8.400000e-02	2.654591e+01	
-8.200000e-02	2.706049e+01	
-8.000000e-02	2.685120e+01	
-7.800000e-02	2.701082e+01	
-7.600000e-02	2.719009e+01	
-7.400000e-02	2.690181e+01	
-7.200000e-02	2.678885e+01	
-7.000000e-02	2.666027e+01	
-6.800000e-02	2.706793e+01	
-6.600000e-02	2.683435e+01	
-6.400000e-02	2.648673e+01	
-6.200000e-02	2.640643e+01	
-6.000000e-02	2.687660e+01	
-5.800000e-02	2.668617e+01	
-5.600000e-02	2.692232e+01	
-5.400000e-02	2.665473e+01	
-5.200000e-02	2.668675e+01	
-5.000000e-02	2.681851e+01	
-4.800000e-02	2.678631e+01	
-4.600000e-02	2.658614e+01	
-4.400000e-02	2.666555e+01	
-4.200000e-02	2.614772e+01	
-4.000000e-02	2.661214e+01	
-3.800000e-02	2.575292e+01	
-3.600000e-02	2.614082e+01	
-3.400000e-02	2.576778e+01	
-3.200000e-02	2.565567e+01	
-3.000000e-02	2.532048e+01	
-2.800000e-02	2.572962e+01	
-2.600000e-02	2.572116e+01	
-2.400000e-02	2.536080e+01	
-2.200000e-02	2.585296e+01	
-2.000000e-02	2.540603e+01	
-1.800000e-02	2.499889e+01	
-1.600000e-02	2.507564e+01	
-1.400000e-02	2.469782e+01	
-1.200000e-02	2.471862e+01	
-1.000000e-02	2.477377e+01	
-8.000000e-03	2.516874e+01	
-6.000000e-03	2.590476e+01	
-4.000000e-03	2.591018e+01	
-2.000000e-03	2.660009e+01	
0.000000e+00	2.723063e+01	
2.000000e-03	2.863492e+01	
4.000000e-03	2.921128e+01	
6.000000e-03	3.036895e+01	
8.000000e-03	3.054935e+01	
1.000000e-02	3.099884e+01	
1.200000e-02	3.115747e+01	
1.400000e-02	3.187778e+01	
1.600000e-02	3.177809e+01	
1.800000e-02	3.185908e+01	
2.000000e-02	3.155295e+01	
2.200000e-02	3.107664e+01	
2.400000e-02	3.093544e+01	
2.600000e-02	3.049522e+01	
2.800000e-02	3.068593e+01	
3.000000e-02	3.072872e+01	
3.200000e-02	3.119159e+01	
3.400000e-02	3.012093e+01	
3.600000e-02	3.002997e+01	
3.800000e-02	3.021755e+01	
4.000000e-02	3.036988e+01	
4.200000e-02	2.985730e+01	
4.400000e-02	3.000673e+01	
4.600000e-02	3.006160e+01	
4.800000e-02	2.926149e+01	
5.000000e-02	2.967508e+01	
5.200000e-02	2.940254e+01	
5.400000e-02	2.941492e+01	
5.600000e-02	2.923871e+01	
5.800000e-02	2.928735e+01	
6.000000e-02	2.944600e+01	
6.200000e-02	2.938380e+01	
6.400000e-02	2.931947e+01	
6.600000e-02	2.943452e+01	
6.800000e-02	2.911993e+01	
7.000000e-02	2.941086e+01	
7.200000e-02	2.907865e+01	
7.400000e-02	2.936142e+01	
7.600000e-02	2.881600e+01	
7.800000e-02	2.957249e+01	
8.000000e-02	2.972080e+01	
8.200000e-02	2.908587e+01	
8.400000e-02	2.908925e+01	
8.600000e-02	2.873561e+01	
8.800000e-02	2.899911e+01	
9.000000e-02	2.878801e+01	
9.200000e-02	2.865285e+01	
9.400000e-02	2.871375e+01	
9.600000e-02	2.876605e+01	
9.800000e-02	2.925156e+01	
1.000000e-01	2.890703e+01	
1.020000e-01	2.858640e+01	
1.040000e-01	2.856763e+01	
1.060000e-01	2.895962e+01	
1.080000e-01	2.861791e+01	
1.100000e-01	2.873514e+01	
1.120000e-01	2.862365e+01	
1.140000e-01	2.869715e+01	
1.160000e-01	2.863070e+01	
1.180000e-01	2.835773e+01	
1.200000e-01	2.863262e+01	
1.220000e-01	2.827234e+01	
1.240000e-01	2.861471e+01	
1.260000e-01	2.864085e+01	
1.280000e-01	2.843728e+01	
1.300000e-01	2.856567e+01	
1.320000e-01	2.835921e+01	
1.340000e-01	2.835767e+01	
1.360000e-01	2.826766e+01	
1.380000e-01	2.836640e+01	
1.400000e-01	2.840554e+01	
1.420000e-01	2.832299e+01	
1.440000e-01	2.832896e+01	
1.460000e-01	2.870906e+01	
1.480000e-01	2.839045e+01	
1.500000e-01	2.845293e+01	
1.520000e-01	2.818573e+01	
1.540000e-01	2.830682e+01	
1.560000e-01	2.837022e+01	
1.580000e-01	2.843146e+01	
1.600000e-01	2.791340e+01	
1.620000e-01	2.809475e+01	
1.640000e-01	2.801518e+01	
1.660000e-01	2.824103e+01	
1.680000e-01	2.828404e+01	
1.700000e-01	2.816826e+01	
