RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836nm_[1-10]Horiz_0.2T
Delay (ps)	Lock-In 1 (V)	Lock-In 2 (V)
-5.000000e+002	1.560000e-004	-2.136000e-002
-4.750693e+002	1.300000e-004	-2.624000e-002
-4.501385e+002	1.120000e-004	-3.154000e-002
-4.252078e+002	3.100000e-005	-3.612000e-002
-4.000000e+002	7.000000e-005	-3.704000e-002
-3.751247e+002	5.400000e-005	-3.642000e-002
-3.501385e+002	5.600000e-005	-3.740000e-002
-3.252078e+002	8.400000e-005	-3.578000e-002
-3.000000e+002	7.300000e-005	-3.286000e-002
-2.750693e+002	1.030000e-004	-2.962000e-002
-2.501385e+002	1.570000e-004	-2.454000e-002
-2.252078e+002	1.780000e-004	-1.970000e-002
-2.000000e+002	2.250000e-004	-1.336000e-002
-1.750693e+002	2.680000e-004	-6.820000e-003
-1.501939e+002	2.970000e-004	-7.200000e-004
-1.249307e+002	3.190000e-004	5.840000e-003
-1.000000e+002	3.930000e-004	1.298000e-002
-7.506925e+001	4.300000e-004	1.996000e-002
-5.019391e+001	4.660000e-004	2.506000e-002
-2.498615e+001	5.920000e-004	4.878000e-002
0.000000e+000	2.921000e-003	4.265400e-001
2.493075e+001	2.862000e-003	4.075400e-001
4.986150e+001	2.625000e-003	3.708800e-001
7.473684e+001	2.368000e-003	3.368400e-001
1.000000e+002	2.124000e-003	2.915000e-001
1.249307e+002	1.728000e-003	2.332800e-001
1.498615e+002	1.358000e-003	1.693800e-001
1.747368e+002	9.370000e-004	9.968000e-002
2.000000e+002	4.980000e-004	3.040000e-002
2.249307e+002	5.900000e-005	-3.952000e-002
2.498615e+002	-3.570000e-004	-1.061800e-001
2.747922e+002	-7.280000e-004	-1.704200e-001
3.000000e+002	-1.065000e-003	-2.249600e-001
3.249307e+002	-1.372000e-003	-2.741800e-001
3.498615e+002	-1.662000e-003	-3.138800e-001
3.747922e+002	-1.848000e-003	-3.463000e-001
4.000000e+002	-1.937000e-003	-3.694800e-001
4.248753e+002	-2.059000e-003	-3.741600e-001
4.498615e+002	-1.943000e-003	-3.706200e-001
4.747922e+002	-1.966000e-003	-3.471400e-001
4.999446e+002	-1.703000e-003	-3.230600e-001
5.249307e+002	-1.535000e-003	-2.884800e-001
5.498615e+002	-1.181000e-003	-2.409600e-001
5.747922e+002	-8.050000e-004	-1.885200e-001
5.999446e+002	-4.930000e-004	-1.307200e-001
6.249307e+002	-1.460000e-004	-7.040000e-002
6.498615e+002	3.100000e-004	-8.000000e-003
6.747922e+002	6.970000e-004	5.670000e-002
7.000000e+002	1.039000e-003	1.185400e-001
7.249307e+002	1.453000e-003	1.766800e-001
7.498615e+002	1.723000e-003	2.266600e-001
7.747922e+002	1.972000e-003	2.668400e-001
8.000000e+002	2.223000e-003	3.029600e-001
8.248753e+002	2.315000e-003	3.253600e-001
8.498615e+002	2.417000e-003	3.389800e-001
8.747368e+002	2.538000e-003	3.430200e-001
9.000000e+002	2.407000e-003	3.410800e-001
9.249307e+002	2.335000e-003	3.170800e-001
9.498061e+002	2.158000e-003	2.914600e-001
9.750693e+002	1.928000e-003	2.512000e-001
1.000000e+003	1.628000e-003	2.136600e-001
1.024931e+003	1.331000e-003	1.630000e-001
1.049806e+003	1.015000e-003	1.055200e-001
1.075069e+003	6.170000e-004	4.996000e-002
1.100000e+003	2.460000e-004	-5.660000e-003
1.124931e+003	-4.700000e-005	-6.372000e-002
1.149861e+003	-3.480000e-004	-1.180000e-001
1.174792e+003	-7.000000e-004	-1.649000e-001
1.199945e+003	-9.920000e-004	-2.157000e-001
1.224931e+003	-1.211000e-003	-2.562600e-001
1.249861e+003	-1.429000e-003	-2.838800e-001
1.274737e+003	-1.474000e-003	-3.047200e-001
1.300000e+003	-1.599000e-003	-3.080400e-001
1.324931e+003	-1.651000e-003	-3.179200e-001
1.349861e+003	-1.591000e-003	-3.094600e-001
1.374792e+003	-1.332000e-003	-2.827200e-001
1.399945e+003	-1.271000e-003	-2.519200e-001
1.424931e+003	-9.350000e-004	-2.156600e-001
1.449861e+003	-7.900000e-004	-1.773800e-001
1.474792e+003	-4.910000e-004	-1.285000e-001
1.499945e+003	-1.650000e-004	-7.678000e-002
1.524931e+003	1.690000e-004	-2.494000e-002
1.549861e+003	5.510000e-004	2.948000e-002
1.574792e+003	8.090000e-004	8.032000e-002
1.600000e+003	1.134000e-003	1.268600e-001
1.624875e+003	1.437000e-003	1.722000e-001
1.649861e+003	1.647000e-003	2.122800e-001
1.674792e+003	1.829000e-003	2.410600e-001
1.700000e+003	2.013000e-003	2.660400e-001
1.724875e+003	2.075000e-003	2.879400e-001
1.749861e+003	2.120000e-003	2.810000e-001
1.774792e+003	2.154000e-003	2.843800e-001
1.800000e+003	1.928000e-003	2.640200e-001
1.824931e+003	1.870000e-003	2.511200e-001
1.849806e+003	1.746000e-003	2.244400e-001
1.875069e+003	1.578000e-003	1.939000e-001
1.900000e+003	1.305000e-003	1.555000e-001
1.924931e+003	1.023000e-003	1.087200e-001
1.949806e+003	7.330000e-004	5.962000e-002
1.975014e+003	3.990000e-004	1.206000e-002
1.999945e+003	5.900000e-005	-3.878000e-002
2.024875e+003	-1.990000e-004	-8.538000e-002
2.049806e+003	-4.830000e-004	-1.296600e-001
2.075014e+003	-6.820000e-004	-1.652800e-001
2.099945e+003	-8.910000e-004	-2.001200e-001
2.124875e+003	-1.105000e-003	-2.288200e-001
2.149806e+003	-1.165000e-003	-2.467000e-001
2.174958e+003	-1.293000e-003	-2.538200e-001
2.199945e+003	-1.240000e-003	-2.609400e-001
2.224875e+003	-1.220000e-003	-2.539400e-001
2.249806e+003	-1.149000e-003	-2.436800e-001
2.274958e+003	-1.062000e-003	-2.207600e-001
2.299945e+003	-8.800000e-004	-1.931400e-001
2.324875e+003	-6.600000e-004	-1.601400e-001
2.349806e+003	-4.340000e-004	-1.218400e-001
2.374958e+003	-1.520000e-004	-8.090000e-002
2.399945e+003	5.800000e-005	-3.486000e-002
2.424875e+003	3.860000e-004	7.840000e-003
2.449806e+003	6.910000e-004	5.454000e-002
2.475014e+003	9.090000e-004	9.756000e-002
2.499889e+003	1.171000e-003	1.346400e-001
2.524875e+003	1.401000e-003	1.693800e-001
2.549806e+003	1.581000e-003	1.965400e-001
2.575014e+003	1.694000e-003	2.165200e-001
2.599889e+003	1.780000e-003	2.327800e-001
2.624875e+003	1.810000e-003	2.426600e-001
2.649751e+003	1.810000e-003	2.396000e-001
2.675014e+003	1.829000e-003	2.356200e-001
2.699945e+003	1.746000e-003	2.277600e-001
2.724820e+003	1.580000e-003	1.967800e-001
2.750083e+003	1.405000e-003	1.721200e-001
2.775014e+003	1.197000e-003	1.406000e-001
2.799945e+003	9.600000e-004	1.023400e-001
2.824820e+003	6.990000e-004	6.054000e-002
2.849806e+003	4.520000e-004	2.232000e-002
2.875014e+003	2.010000e-004	-1.836000e-002
2.899945e+003	-2.100000e-005	-5.716000e-002
2.924875e+003	-2.700000e-004	-9.618000e-002
2.949806e+003	-5.350000e-004	-1.321000e-001
2.975014e+003	-6.940000e-004	-1.621400e-001
2.999945e+003	-8.510000e-004	-1.883600e-001
3.024875e+003	-9.550000e-004	-2.047800e-001
3.049751e+003	-1.031000e-003	-2.177800e-001
3.075014e+003	-1.111000e-003	-2.258800e-001
3.099945e+003	-1.006000e-003	-2.252400e-001
3.124875e+003	-9.670000e-004	-2.103400e-001
3.149806e+003	-8.910000e-004	-1.949800e-001
3.174958e+003	-7.180000e-004	-1.713800e-001
3.199945e+003	-5.090000e-004	-1.408000e-001
3.224875e+003	-4.210000e-004	-1.156400e-001
3.249806e+003	-1.730000e-004	-7.882000e-002
3.274958e+003	3.600000e-005	-4.264000e-002
3.299945e+003	2.930000e-004	-5.260000e-003
3.324875e+003	5.180000e-004	3.168000e-002
3.349806e+003	7.390000e-004	6.752000e-002
3.375014e+003	9.860000e-004	1.016000e-001
3.399889e+003	1.131000e-003	1.318200e-001
3.424875e+003	1.301000e-003	1.558000e-001
3.449806e+003	1.489000e-003	1.736600e-001
3.475014e+003	1.619000e-003	1.881800e-001
3.499889e+003	1.561000e-003	2.025600e-001
3.524875e+003	1.554000e-003	1.977200e-001
3.549806e+003	1.612000e-003	1.999600e-001
3.575014e+003	1.516000e-003	1.922000e-001
3.599945e+003	1.388000e-003	1.736600e-001
3.624820e+003	1.304000e-003	1.527000e-001
3.649806e+003	1.093000e-003	1.225000e-001
3.675014e+003	8.820000e-004	9.202000e-002
3.699945e+003	7.140000e-004	6.364000e-002
3.724875e+003	5.010000e-004	2.556000e-002
3.749806e+003	3.030000e-004	-5.720000e-003
3.775014e+003	1.680000e-004	-4.166000e-002
3.799945e+003	-1.050000e-004	-7.116000e-002
3.824875e+003	-3.080000e-004	-1.015800e-001
3.849751e+003	-4.820000e-004	-1.290800e-001
3.875014e+003	-5.860000e-004	-1.492400e-001
3.899945e+003	-6.720000e-004	-1.614600e-001
3.924875e+003	-8.020000e-004	-1.726200e-001
3.949806e+003	-8.100000e-004	-1.787000e-001
3.974958e+003	-7.570000e-004	-1.778200e-001
