RMBE1130-K_30K_836.17nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836.17nm_[1-10]Horiz_0.2T	RMBE1130-K_30K_836.17nm_[1-10]Horiz_0.2T
Delay (ps)	Lock-In 1 (V)	Lock-In 2 (V)
-5.001662e+002	4.040000e-004	-2.180000e-002
-4.752355e+002	3.910000e-004	-2.690000e-002
-4.503047e+002	3.470000e-004	-3.170000e-002
-4.253740e+002	3.720000e-004	-3.460000e-002
-4.001662e+002	3.470000e-004	-3.594000e-002
-3.752909e+002	3.690000e-004	-3.586000e-002
-3.503047e+002	3.950000e-004	-3.516000e-002
-3.253740e+002	3.280000e-004	-3.340000e-002
-3.001662e+002	3.670000e-004	-2.932000e-002
-2.752909e+002	4.130000e-004	-2.452000e-002
-2.503047e+002	4.350000e-004	-2.068000e-002
-2.253740e+002	4.270000e-004	-1.428000e-002
-2.001662e+002	5.190000e-004	-9.180000e-003
-1.752355e+002	5.280000e-004	-1.620000e-003
-1.503601e+002	5.760000e-004	4.400000e-003
-1.250970e+002	6.390000e-004	1.056000e-002
-1.001662e+002	6.510000e-004	1.710000e-002
-7.523546e+001	6.950000e-004	2.276000e-002
-5.036011e+001	7.720000e-004	2.730000e-002
-2.509695e+001	1.631000e-003	1.357600e-001
-1.662050e-001	3.104000e-003	4.064800e-001
2.476454e+001	3.021000e-003	3.893600e-001
4.969529e+001	2.848000e-003	3.561600e-001
7.490305e+001	2.582000e-003	3.206400e-001
9.983380e+001	2.320000e-003	2.749800e-001
1.247645e+002	1.990000e-003	2.201000e-001
1.499723e+002	1.583000e-003	1.611200e-001
1.748476e+002	1.157000e-003	9.490000e-002
1.997784e+002	7.330000e-004	2.596000e-002
2.250416e+002	3.550000e-004	-4.300000e-002
2.499723e+002	-1.010000e-004	-1.083600e-001
2.749030e+002	-4.410000e-004	-1.685200e-001
2.998338e+002	-8.260000e-004	-2.235600e-001
3.247645e+002	-1.126000e-003	-2.711400e-001
3.499723e+002	-1.321000e-003	-3.107200e-001
3.749030e+002	-1.486000e-003	-3.382800e-001
3.998338e+002	-1.664000e-003	-3.571800e-001
4.247645e+002	-1.579000e-003	-3.574400e-001
4.499723e+002	-1.703000e-003	-3.463800e-001
4.749030e+002	-1.550000e-003	-3.345800e-001
4.998338e+002	-1.281000e-003	-3.076800e-001
5.247645e+002	-1.036000e-003	-2.728400e-001
5.499169e+002	-8.100000e-004	-2.273600e-001
5.749030e+002	-4.470000e-004	-1.766200e-001
5.997784e+002	-1.450000e-004	-1.185400e-001
6.250416e+002	2.290000e-004	-5.908000e-002
6.499723e+002	6.590000e-004	2.520000e-003
6.749030e+002	9.840000e-004	6.338000e-002
6.998338e+002	1.367000e-003	1.198200e-001
7.247091e+002	1.709000e-003	1.748400e-001
7.499723e+002	2.033000e-003	2.186800e-001
7.749030e+002	2.305000e-003	2.624000e-001
7.998338e+002	2.522000e-003	2.958800e-001
8.247091e+002	2.644000e-003	3.165800e-001
8.499723e+002	2.680000e-003	3.390400e-001
8.749030e+002	2.686000e-003	3.324800e-001
8.998338e+002	2.692000e-003	3.266800e-001
9.247645e+002	2.567000e-003	3.093600e-001
9.499169e+002	2.345000e-003	2.767400e-001
9.749030e+002	2.105000e-003	2.412200e-001
9.998338e+002	1.859000e-003	1.956600e-001
1.024765e+003	1.548000e-003	1.516000e-001
1.049917e+003	1.276000e-003	9.756000e-002
1.074903e+003	9.290000e-004	4.454000e-002
1.099834e+003	5.290000e-004	-1.152000e-002
1.124765e+003	1.870000e-004	-6.772000e-002
1.149972e+003	-8.400000e-005	-1.196800e-001
1.174848e+003	-5.040000e-004	-1.721600e-001
1.199834e+003	-7.230000e-004	-2.167200e-001
1.224765e+003	-9.330000e-004	-2.453400e-001
1.249972e+003	-1.043000e-003	-2.691000e-001
1.274903e+003	-1.204000e-003	-2.883400e-001
1.299834e+003	-1.201000e-003	-2.953400e-001
1.324765e+003	-1.235000e-003	-2.981400e-001
1.349972e+003	-1.239000e-003	-2.918600e-001
1.374903e+003	-9.750000e-004	-2.708800e-001
1.399834e+003	-8.400000e-004	-2.503400e-001
1.424820e+003	-6.300000e-004	-2.095000e-001
1.449751e+003	-3.780000e-004	-1.626200e-001
1.474958e+003	-5.300000e-005	-1.165800e-001
1.499834e+003	2.200000e-004	-6.664000e-002
1.524820e+003	5.500000e-004	-1.670000e-002
1.550028e+003	8.970000e-004	3.492000e-002
1.574958e+003	1.168000e-003	8.414000e-002
1.599889e+003	1.480000e-003	1.296000e-001
1.624765e+003	1.713000e-003	1.744800e-001
1.650028e+003	1.956000e-003	2.082000e-001
1.674958e+003	2.164000e-003	2.432200e-001
1.699889e+003	2.249000e-003	2.641400e-001
1.724765e+003	2.328000e-003	2.767000e-001
1.750028e+003	2.409000e-003	2.835200e-001
1.774958e+003	2.410000e-003	2.748400e-001
1.799889e+003	2.252000e-003	2.606400e-001
1.824820e+003	2.138000e-003	2.476200e-001
1.849695e+003	1.959000e-003	2.164400e-001
1.874958e+003	1.777000e-003	1.865000e-001
1.899889e+003	1.556000e-003	1.448000e-001
1.924820e+003	1.331000e-003	9.836000e-002
1.950028e+003	9.840000e-004	5.278000e-002
1.974903e+003	6.920000e-004	5.080000e-003
1.999889e+003	3.620000e-004	-4.424000e-002
2.024820e+003	1.180000e-004	-8.824000e-002
2.049695e+003	-8.800000e-005	-1.283800e-001
2.074958e+003	-3.710000e-004	-1.659600e-001
2.099889e+003	-6.280000e-004	-1.943600e-001
2.124820e+003	-6.570000e-004	-2.186600e-001
2.149972e+003	-8.200000e-004	-2.328600e-001
2.174958e+003	-7.620000e-004	-2.393200e-001
2.199889e+003	-8.890000e-004	-2.451600e-001
2.224820e+003	-8.570000e-004	-2.444600e-001
2.249751e+003	-6.760000e-004	-2.240800e-001
2.274903e+003	-5.480000e-004	-2.131800e-001
2.299889e+003	-3.840000e-004	-1.756400e-001
2.324820e+003	-2.150000e-004	-1.429400e-001
2.350028e+003	-1.600000e-005	-1.086000e-001
2.374903e+003	2.660000e-004	-7.040000e-002
2.399889e+003	5.120000e-004	-2.632000e-002
