RMBE1130-K_30K_-160ps_836nm_[1-10]Horiz	RMBE1130-K_30K_-160ps_836nm_[1-10]Horiz	RMBE1130-K_30K_-160ps_836nm_[1-10]Horiz
Magnetic Field (T)	Lock-In 1 (V)	Lock-In 2 (V)
-1.000000e-001	3.390000e-004	1.706000e-002
-9.950000e-002	2.400000e-004	-1.780000e-003
-9.900000e-002	3.140000e-004	-7.600000e-004
-9.850000e-002	3.870000e-004	3.880000e-003
-9.800000e-002	4.270000e-004	1.036000e-002
-9.750000e-002	4.460000e-004	1.744000e-002
-9.700000e-002	4.890000e-004	2.406000e-002
-9.650000e-002	5.500000e-004	3.034000e-002
-9.600000e-002	5.950000e-004	3.568000e-002
-9.550000e-002	5.890000e-004	3.960000e-002
-9.500000e-002	6.020000e-004	4.180000e-002
-9.450000e-002	6.040000e-004	4.090000e-002
-9.400000e-002	5.740000e-004	3.790000e-002
-9.350000e-002	5.290000e-004	3.238000e-002
-9.300000e-002	4.930000e-004	2.454000e-002
-9.250000e-002	3.990000e-004	1.530000e-002
-9.200000e-002	3.680000e-004	5.840000e-003
-9.150000e-002	3.140000e-004	-2.600000e-003
-9.100000e-002	2.770000e-004	-9.780000e-003
-9.050000e-002	2.230000e-004	-1.696000e-002
-9.000000e-002	1.930000e-004	-2.320000e-002
-8.950000e-002	1.940000e-004	-2.794000e-002
-8.900000e-002	1.620000e-004	-2.998000e-002
-8.850000e-002	1.330000e-004	-3.138000e-002
-8.800000e-002	1.370000e-004	-3.226000e-002
-8.750000e-002	1.660000e-004	-3.068000e-002
-8.700000e-002	1.510000e-004	-2.786000e-002
-8.650000e-002	2.270000e-004	-2.446000e-002
-8.600000e-002	2.110000e-004	-1.936000e-002
-8.550000e-002	2.400000e-004	-1.328000e-002
-8.500000e-002	2.980000e-004	-7.320000e-003
-8.450000e-002	3.790000e-004	6.000000e-005
-8.400000e-002	4.540000e-004	7.980000e-003
-8.350000e-002	4.650000e-004	1.554000e-002
-8.300000e-002	5.100000e-004	2.308000e-002
-8.250000e-002	5.530000e-004	3.090000e-002
-8.200000e-002	5.800000e-004	3.602000e-002
-8.150000e-002	6.580000e-004	4.118000e-002
-8.100000e-002	6.630000e-004	4.362000e-002
-8.050000e-002	6.230000e-004	4.174000e-002
-8.000000e-002	5.810000e-004	3.826000e-002
-7.950000e-002	5.490000e-004	3.192000e-002
-7.900000e-002	5.230000e-004	2.372000e-002
-7.850000e-002	4.560000e-004	1.544000e-002
-7.800000e-002	3.870000e-004	6.560000e-003
-7.750000e-002	3.510000e-004	-2.440000e-003
-7.700000e-002	2.790000e-004	-1.020000e-002
-7.650000e-002	2.880000e-004	-1.742000e-002
-7.600000e-002	2.190000e-004	-2.316000e-002
-7.550000e-002	1.350000e-004	-2.702000e-002
-7.500000e-002	1.790000e-004	-2.982000e-002
-7.450000e-002	1.460000e-004	-3.090000e-002
-7.400000e-002	1.740000e-004	-3.088000e-002
-7.350000e-002	1.740000e-004	-2.916000e-002
-7.300000e-002	1.880000e-004	-2.684000e-002
-7.250000e-002	2.010000e-004	-2.282000e-002
-7.200000e-002	2.330000e-004	-1.774000e-002
-7.150000e-002	2.860000e-004	-1.208000e-002
-7.100000e-002	3.100000e-004	-5.240000e-003
-7.050000e-002	3.160000e-004	2.420000e-003
-7.000000e-002	4.000000e-004	9.600000e-003
-6.950000e-002	4.710000e-004	1.842000e-002
-6.900000e-002	5.270000e-004	2.554000e-002
-6.850000e-002	5.470000e-004	3.218000e-002
-6.800000e-002	5.740000e-004	3.768000e-002
-6.750000e-002	5.820000e-004	4.070000e-002
-6.700000e-002	5.930000e-004	4.102000e-002
-6.650000e-002	6.060000e-004	3.994000e-002
-6.600000e-002	5.730000e-004	3.466000e-002
-6.550000e-002	5.010000e-004	2.852000e-002
-6.500000e-002	4.780000e-004	2.010000e-002
-6.450000e-002	4.230000e-004	1.118000e-002
-6.400000e-002	3.910000e-004	2.380000e-003
-6.350000e-002	3.140000e-004	-6.160000e-003
-6.300000e-002	2.320000e-004	-1.310000e-002
-6.250000e-002	2.390000e-004	-2.012000e-002
-6.200000e-002	1.870000e-004	-2.502000e-002
-6.150000e-002	1.600000e-004	-2.956000e-002
-6.100000e-002	1.620000e-004	-3.192000e-002
-6.050000e-002	1.690000e-004	-3.236000e-002
-6.000000e-002	1.530000e-004	-3.142000e-002
-5.950000e-002	1.990000e-004	-2.944000e-002
-5.900000e-002	2.350000e-004	-2.568000e-002
-5.850000e-002	2.270000e-004	-2.150000e-002
-5.800000e-002	2.410000e-004	-1.614000e-002
-5.750000e-002	3.060000e-004	-1.086000e-002
-5.700000e-002	3.260000e-004	-3.480000e-003
-5.650000e-002	4.230000e-004	4.520000e-003
-5.600000e-002	4.300000e-004	1.272000e-002
-5.550000e-002	4.930000e-004	2.058000e-002
-5.500000e-002	5.410000e-004	2.746000e-002
-5.450000e-002	6.080000e-004	3.492000e-002
-5.400000e-002	6.280000e-004	3.952000e-002
-5.350000e-002	6.070000e-004	4.110000e-002
-5.300000e-002	6.020000e-004	3.954000e-002
-5.250000e-002	5.450000e-004	3.726000e-002
-5.200000e-002	5.510000e-004	3.168000e-002
-5.150000e-002	5.200000e-004	2.380000e-002
-5.100000e-002	4.630000e-004	1.528000e-002
-5.050000e-002	3.950000e-004	6.760000e-003
-5.000000e-002	3.090000e-004	-2.500000e-003
-4.950000e-002	2.940000e-004	-1.032000e-002
-4.900000e-002	2.650000e-004	-1.772000e-002
-4.850000e-002	2.680000e-004	-2.276000e-002
-4.800000e-002	1.610000e-004	-2.738000e-002
-4.750000e-002	1.890000e-004	-3.082000e-002
-4.700000e-002	1.380000e-004	-3.278000e-002
-4.650000e-002	1.980000e-004	-3.284000e-002
-4.600000e-002	2.440000e-004	-3.116000e-002
-4.550000e-002	2.060000e-004	-2.982000e-002
-4.500000e-002	2.280000e-004	-2.446000e-002
-4.450000e-002	2.740000e-004	-2.098000e-002
-4.400000e-002	3.050000e-004	-1.332000e-002
-4.350000e-002	3.210000e-004	-6.480000e-003
-4.300000e-002	3.550000e-004	6.400000e-004
-4.250000e-002	4.360000e-004	1.012000e-002
-4.200000e-002	4.970000e-004	1.752000e-002
-4.150000e-002	5.700000e-004	2.602000e-002
-4.100000e-002	5.620000e-004	3.260000e-002
-4.050000e-002	6.000000e-004	3.844000e-002
-4.000000e-002	6.020000e-004	4.160000e-002
-3.950000e-002	6.280000e-004	4.292000e-002
-3.900000e-002	6.490000e-004	4.064000e-002
-3.850000e-002	5.890000e-004	3.480000e-002
-3.800000e-002	5.290000e-004	2.832000e-002
-3.750000e-002	4.250000e-004	1.954000e-002
-3.700000e-002	4.550000e-004	1.100000e-002
-3.650000e-002	3.960000e-004	2.560000e-003
-3.600000e-002	3.280000e-004	-5.480000e-003
-3.550000e-002	2.810000e-004	-1.198000e-002
-3.500000e-002	2.060000e-004	-1.856000e-002
-3.450000e-002	2.180000e-004	-2.388000e-002
-3.400000e-002	1.750000e-004	-2.798000e-002
-3.350000e-002	1.380000e-004	-2.984000e-002
-3.300000e-002	1.630000e-004	-3.018000e-002
-3.250000e-002	2.130000e-004	-2.968000e-002
-3.200000e-002	2.290000e-004	-2.876000e-002
-3.150000e-002	2.160000e-004	-2.506000e-002
-3.100000e-002	2.270000e-004	-2.132000e-002
-3.050000e-002	2.380000e-004	-1.540000e-002
-3.000000e-002	3.080000e-004	-8.140000e-003
-2.950000e-002	3.780000e-004	-6.400000e-004
-2.900000e-002	4.090000e-004	7.260000e-003
-2.850000e-002	4.630000e-004	1.546000e-002
-2.800000e-002	5.080000e-004	2.406000e-002
-2.750000e-002	5.520000e-004	3.120000e-002
-2.700000e-002	6.360000e-004	3.692000e-002
-2.650000e-002	6.840000e-004	4.154000e-002
-2.600000e-002	6.270000e-004	4.320000e-002
-2.550000e-002	6.180000e-004	4.152000e-002
-2.500000e-002	6.070000e-004	3.744000e-002
-2.450000e-002	5.660000e-004	3.178000e-002
-2.400000e-002	5.210000e-004	2.334000e-002
-2.350000e-002	4.530000e-004	1.490000e-002
-2.300000e-002	4.040000e-004	5.440000e-003
-2.250000e-002	3.350000e-004	-2.580000e-003
-2.200000e-002	2.910000e-004	-1.070000e-002
-2.150000e-002	2.480000e-004	-1.698000e-002
-2.100000e-002	1.930000e-004	-2.248000e-002
-2.050000e-002	1.970000e-004	-2.690000e-002
-2.000000e-002	1.820000e-004	-2.948000e-002
-1.950000e-002	1.790000e-004	-3.074000e-002
-1.900000e-002	1.890000e-004	-3.062000e-002
-1.850000e-002	2.150000e-004	-2.932000e-002
-1.800000e-002	2.000000e-004	-2.634000e-002
-1.750000e-002	1.890000e-004	-2.216000e-002
-1.700000e-002	2.990000e-004	-1.750000e-002
-1.650000e-002	3.070000e-004	-1.110000e-002
-1.600000e-002	3.450000e-004	-3.820000e-003
-1.550000e-002	3.380000e-004	4.280000e-003
-1.500000e-002	4.680000e-004	1.378000e-002
-1.450000e-002	5.350000e-004	2.082000e-002
-1.400000e-002	5.530000e-004	2.894000e-002
-1.350000e-002	5.880000e-004	3.506000e-002
-1.300000e-002	5.960000e-004	4.010000e-002
-1.250000e-002	6.530000e-004	4.298000e-002
-1.200000e-002	6.030000e-004	4.178000e-002
-1.150000e-002	6.000000e-004	3.884000e-002
-1.100000e-002	5.480000e-004	3.394000e-002
-1.050000e-002	5.180000e-004	2.582000e-002
-1.000000e-002	4.830000e-004	1.610000e-002
-9.500000e-003	3.960000e-004	7.080000e-003
-9.000000e-003	3.380000e-004	-9.400000e-004
-8.500000e-003	3.110000e-004	-9.060000e-003
-8.000000e-003	2.790000e-004	-1.574000e-002
-7.500000e-003	1.960000e-004	-2.162000e-002
-7.000000e-003	2.450000e-004	-2.612000e-002
-6.500000e-003	1.960000e-004	-2.852000e-002
-6.000000e-003	1.690000e-004	-3.096000e-002
-5.500000e-003	1.780000e-004	-3.078000e-002
-5.000000e-003	2.000000e-004	-3.044000e-002
-4.500000e-003	2.520000e-004	-2.846000e-002
-4.000000e-003	2.120000e-004	-2.448000e-002
-3.500000e-003	2.470000e-004	-2.056000e-002
-3.000000e-003	3.190000e-004	-1.378000e-002
-2.500000e-003	3.450000e-004	-7.340000e-003
-2.000000e-003	4.260000e-004	1.520000e-003
-1.500000e-003	4.490000e-004	9.440000e-003
-1.000000e-003	5.140000e-004	1.812000e-002
-5.000000e-004	5.480000e-004	2.556000e-002
7.979728e-017	5.730000e-004	3.212000e-002
5.000000e-004	5.950000e-004	3.666000e-002
1.000000e-003	6.570000e-004	3.868000e-002
1.500000e-003	6.160000e-004	3.824000e-002
2.000000e-003	6.070000e-004	3.494000e-002
2.500000e-003	5.490000e-004	3.024000e-002
3.000000e-003	5.190000e-004	2.304000e-002
3.500000e-003	4.800000e-004	1.458000e-002
4.000000e-003	3.680000e-004	6.320000e-003
4.500000e-003	3.460000e-004	-2.320000e-003
5.000000e-003	3.100000e-004	-1.008000e-002
5.500000e-003	2.220000e-004	-1.690000e-002
6.000000e-003	1.860000e-004	-2.214000e-002
6.500000e-003	1.220000e-004	-2.614000e-002
7.000000e-003	2.040000e-004	-2.892000e-002
7.500000e-003	2.050000e-004	-3.032000e-002
8.000000e-003	1.830000e-004	-3.188000e-002
8.500000e-003	1.710000e-004	-3.096000e-002
9.000000e-003	1.390000e-004	-2.884000e-002
9.500000e-003	2.250000e-004	-2.484000e-002
1.000000e-002	2.570000e-004	-1.932000e-002
1.050000e-002	3.090000e-004	-1.358000e-002
1.100000e-002	3.720000e-004	-5.480000e-003
1.150000e-002	3.890000e-004	2.580000e-003
1.200000e-002	4.210000e-004	1.102000e-002
1.250000e-002	4.640000e-004	1.932000e-002
1.300000e-002	5.300000e-004	2.674000e-002
1.350000e-002	5.720000e-004	3.418000e-002
1.400000e-002	6.100000e-004	3.922000e-002
