RMBE1130-K_30K_-160ps_836.17nm_[1-10]Horiz	RMBE1130-K_30K_-160ps_836.17nm_[1-10]Horiz	RMBE1130-K_30K_-160ps_836.17nm_[1-10]Horiz
Magnetic Field (T)	Lock-In 1 (V)	Lock-In 2 (V)
-1.000000e-001	6.440000e-004	1.694000e-002
-9.950000e-002	6.860000e-004	-1.980000e-003
-9.900000e-002	7.040000e-004	-1.160000e-003
-9.850000e-002	7.050000e-004	3.360000e-003
-9.800000e-002	7.770000e-004	8.940000e-003
-9.750000e-002	7.790000e-004	1.498000e-002
-9.700000e-002	8.320000e-004	2.264000e-002
-9.650000e-002	8.150000e-004	2.818000e-002
-9.600000e-002	8.710000e-004	3.298000e-002
-9.550000e-002	9.290000e-004	3.732000e-002
-9.500000e-002	9.580000e-004	4.010000e-002
-9.450000e-002	9.250000e-004	4.000000e-002
-9.400000e-002	9.030000e-004	3.652000e-002
-9.350000e-002	8.680000e-004	3.180000e-002
-9.300000e-002	8.600000e-004	2.422000e-002
-9.250000e-002	8.070000e-004	1.662000e-002
-9.200000e-002	6.850000e-004	7.820000e-003
-9.150000e-002	7.220000e-004	-4.400000e-004
-9.100000e-002	6.490000e-004	-8.040000e-003
-9.050000e-002	6.260000e-004	-1.500000e-002
-9.000000e-002	5.720000e-004	-2.068000e-002
-8.950000e-002	5.490000e-004	-2.366000e-002
-8.900000e-002	5.180000e-004	-2.584000e-002
-8.850000e-002	4.900000e-004	-2.836000e-002
-8.800000e-002	5.470000e-004	-2.802000e-002
-8.750000e-002	5.360000e-004	-2.686000e-002
-8.700000e-002	5.290000e-004	-2.422000e-002
-8.650000e-002	5.490000e-004	-2.066000e-002
-8.600000e-002	6.260000e-004	-1.712000e-002
-8.550000e-002	6.170000e-004	-1.180000e-002
-8.500000e-002	6.640000e-004	-4.840000e-003
-8.450000e-002	7.280000e-004	7.200000e-004
-8.400000e-002	7.660000e-004	8.560000e-003
-8.350000e-002	7.630000e-004	1.586000e-002
-8.300000e-002	8.410000e-004	2.314000e-002
-8.250000e-002	8.830000e-004	2.966000e-002
-8.200000e-002	9.310000e-004	3.488000e-002
-8.150000e-002	9.230000e-004	3.902000e-002
-8.100000e-002	9.500000e-004	4.104000e-002
-8.050000e-002	9.660000e-004	4.060000e-002
-8.000000e-002	9.310000e-004	3.792000e-002
-7.950000e-002	8.620000e-004	3.182000e-002
-7.900000e-002	8.260000e-004	2.448000e-002
-7.850000e-002	7.770000e-004	1.590000e-002
-7.800000e-002	6.910000e-004	6.900000e-003
-7.750000e-002	6.980000e-004	-1.480000e-003
-7.700000e-002	6.370000e-004	-8.540000e-003
-7.650000e-002	6.020000e-004	-1.474000e-002
-7.600000e-002	5.780000e-004	-2.050000e-002
-7.550000e-002	5.410000e-004	-2.540000e-002
-7.500000e-002	5.130000e-004	-2.736000e-002
-7.450000e-002	5.330000e-004	-2.840000e-002
-7.400000e-002	5.600000e-004	-2.760000e-002
-7.350000e-002	5.170000e-004	-2.782000e-002
-7.300000e-002	5.070000e-004	-2.514000e-002
-7.250000e-002	5.610000e-004	-2.136000e-002
-7.200000e-002	6.210000e-004	-1.700000e-002
-7.150000e-002	5.900000e-004	-1.138000e-002
-7.100000e-002	6.410000e-004	-4.460000e-003
-7.050000e-002	7.080000e-004	1.880000e-003
-7.000000e-002	7.330000e-004	9.060000e-003
-6.950000e-002	8.490000e-004	1.674000e-002
-6.900000e-002	9.040000e-004	2.364000e-002
-6.850000e-002	9.060000e-004	2.978000e-002
-6.800000e-002	9.330000e-004	3.574000e-002
-6.750000e-002	9.170000e-004	3.874000e-002
-6.700000e-002	9.040000e-004	4.010000e-002
-6.650000e-002	9.310000e-004	3.858000e-002
-6.600000e-002	9.480000e-004	3.390000e-002
-6.550000e-002	8.690000e-004	2.804000e-002
-6.500000e-002	8.140000e-004	2.080000e-002
-6.450000e-002	7.710000e-004	1.192000e-002
-6.400000e-002	7.070000e-004	3.820000e-003
-6.350000e-002	6.200000e-004	-4.780000e-003
-6.300000e-002	6.350000e-004	-1.250000e-002
-6.250000e-002	6.000000e-004	-1.862000e-002
-6.200000e-002	5.550000e-004	-2.218000e-002
-6.150000e-002	5.340000e-004	-2.614000e-002
-6.100000e-002	5.560000e-004	-2.836000e-002
-6.050000e-002	4.820000e-004	-2.980000e-002
-6.000000e-002	5.290000e-004	-2.906000e-002
-5.950000e-002	5.680000e-004	-2.770000e-002
-5.900000e-002	5.710000e-004	-2.386000e-002
-5.850000e-002	5.540000e-004	-2.076000e-002
-5.800000e-002	5.660000e-004	-1.546000e-002
-5.750000e-002	6.340000e-004	-9.220000e-003
-5.700000e-002	6.530000e-004	-3.060000e-003
-5.650000e-002	7.490000e-004	3.960000e-003
-5.600000e-002	7.800000e-004	1.202000e-002
-5.550000e-002	8.370000e-004	1.970000e-002
-5.500000e-002	8.970000e-004	2.684000e-002
-5.450000e-002	8.920000e-004	3.336000e-002
-5.400000e-002	9.430000e-004	3.748000e-002
-5.350000e-002	9.500000e-004	4.012000e-002
-5.300000e-002	9.170000e-004	3.938000e-002
-5.250000e-002	9.460000e-004	3.668000e-002
-5.200000e-002	8.950000e-004	3.028000e-002
-5.150000e-002	8.620000e-004	2.308000e-002
-5.100000e-002	7.940000e-004	1.534000e-002
-5.050000e-002	7.230000e-004	7.120000e-003
-5.000000e-002	6.970000e-004	-6.800000e-004
-4.950000e-002	6.990000e-004	-8.460000e-003
-4.900000e-002	6.550000e-004	-1.490000e-002
-4.850000e-002	5.830000e-004	-2.012000e-002
-4.800000e-002	5.400000e-004	-2.486000e-002
-4.750000e-002	5.280000e-004	-2.788000e-002
-4.700000e-002	4.870000e-004	-2.978000e-002
-4.650000e-002	4.530000e-004	-3.014000e-002
-4.600000e-002	5.160000e-004	-2.942000e-002
-4.550000e-002	5.680000e-004	-2.684000e-002
-4.500000e-002	5.400000e-004	-2.282000e-002
-4.450000e-002	6.040000e-004	-1.868000e-002
-4.400000e-002	6.210000e-004	-1.190000e-002
-4.350000e-002	6.770000e-004	-6.100000e-003
