RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis2	RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis2	RMBE1130-K_30K_100ps_836nm_[1-10]Horiz_PumpSens10mV_Axis2
Mirror Position (um)	Lock-In 1 (V)	Lock-In 2 (V)
-2.000000e+002	2.760000e-004	3.440000e-003
-1.950000e+002	3.080000e-004	3.380000e-003
-1.900000e+002	3.070000e-004	3.760000e-003
-1.850000e+002	3.390000e-004	3.740000e-003
-1.800000e+002	3.810000e-004	4.820000e-003
-1.750000e+002	4.100000e-004	5.700000e-003
-1.700000e+002	3.890000e-004	6.320000e-003
-1.650000e+002	4.500000e-004	6.120000e-003
-1.600000e+002	4.130000e-004	7.300000e-003
-1.550000e+002	4.030000e-004	8.980000e-003
-1.500000e+002	4.270000e-004	1.014000e-002
-1.450000e+002	4.370000e-004	1.188000e-002
-1.400000e+002	4.270000e-004	1.332000e-002
-1.350000e+002	4.550000e-004	1.474000e-002
-1.300000e+002	4.430000e-004	1.758000e-002
-1.250000e+002	4.640000e-004	2.012000e-002
-1.200000e+002	5.150000e-004	2.378000e-002
-1.150000e+002	4.760000e-004	3.104000e-002
-1.100000e+002	5.350000e-004	3.328000e-002
-1.050000e+002	5.760000e-004	4.030000e-002
-1.000000e+002	6.250000e-004	5.062000e-002
-9.500000e+001	6.920000e-004	5.920000e-002
-9.000000e+001	8.000000e-004	6.726000e-002
-8.500000e+001	8.180000e-004	7.944000e-002
-8.000000e+001	9.190000e-004	9.276000e-002
-7.500000e+001	9.810000e-004	1.049000e-001
-7.000000e+001	1.045000e-003	1.155400e-001
-6.500000e+001	1.121000e-003	1.330600e-001
-6.000000e+001	1.201000e-003	1.495600e-001
-5.500000e+001	1.303000e-003	1.647000e-001
-5.000000e+001	1.399000e-003	1.837600e-001
-4.500000e+001	1.395000e-003	1.888400e-001
-4.000000e+001	1.637000e-003	2.158000e-001
-3.500000e+001	1.766000e-003	2.487400e-001
-3.000000e+001	1.892000e-003	2.610000e-001
-2.500000e+001	2.039000e-003	3.035000e-001
-2.000000e+001	2.236000e-003	3.193600e-001
-1.500000e+001	2.408000e-003	3.401000e-001
-1.000000e+001	2.579000e-003	3.688600e-001
-5.000000e+000	2.735000e-003	3.945800e-001
0.000000e+000	2.827000e-003	4.150600e-001
5.000000e+000	2.843000e-003	4.064400e-001
1.000000e+001	2.861000e-003	4.185000e-001
1.500000e+001	2.792000e-003	4.018400e-001
2.000000e+001	2.674000e-003	3.731200e-001
2.500000e+001	2.536000e-003	3.442000e-001
3.000000e+001	2.449000e-003	3.448800e-001
3.500000e+001	2.186000e-003	2.970200e-001
4.000000e+001	2.051000e-003	2.591200e-001
4.500000e+001	1.912000e-003	2.270800e-001
5.000000e+001	1.853000e-003	1.930400e-001
5.500000e+001	1.657000e-003	1.696800e-001
6.000000e+001	1.665000e-003	1.381200e-001
6.500000e+001	1.316000e-003	1.028000e-001
7.000000e+001	1.273000e-003	8.806000e-002
7.500000e+001	1.128000e-003	7.762000e-002
8.000000e+001	1.081000e-003	5.844000e-002
8.500000e+001	1.076000e-003	5.122000e-002
9.000000e+001	1.062000e-003	3.126000e-002
9.500000e+001	1.116000e-003	3.112000e-002
1.000000e+002	9.970000e-004	2.170000e-002
1.050000e+002	1.016000e-003	1.710000e-002
1.100000e+002	9.070000e-004	1.464000e-002
1.150000e+002	9.690000e-004	1.078000e-002
1.200000e+002	1.030000e-003	8.860000e-003
1.250000e+002	1.116000e-003	7.200000e-003
1.300000e+002	1.253000e-003	7.020000e-003
1.350000e+002	1.505000e-003	7.160000e-003
1.400000e+002	1.798000e-003	7.340000e-003
1.450000e+002	2.212000e-003	7.440000e-003
1.500000e+002	2.613000e-003	8.500000e-003
1.550000e+002	3.116000e-003	9.080000e-003
1.600000e+002	3.552000e-003	9.120000e-003
1.650000e+002	4.070000e-003	9.820000e-003
1.700000e+002	4.500000e-003	9.500000e-003
1.750000e+002	4.897000e-003	9.840000e-003
1.800000e+002	5.074000e-003	1.056000e-002
1.850000e+002	5.463000e-003	1.084000e-002
1.900000e+002	5.674000e-003	1.010000e-002
1.950000e+002	5.900000e-003	9.780000e-003
2.000000e+002	6.478000e-003	1.020000e-002
